,"תנועת נוסעים מצטברת בטיסות בינ''להתפלגות על פי חברות תעופה",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,מצטבר 2021,מצטבר 2022,,,,
1,"שיעורהשינוי","שיעורמסה""כ",נוסעים,"שיעורמסה""כ",נוסעים,חברת תעופה,
2,,,,0.19%,822,TRANSAVIA,HV
3,,,,0.18%,775,BRUSSELS AIRLINES,SN
4,,,,0.17%,741,GULF AIR - BAHREIN,GF
5,,,,0.17%,728,FLYONE,5F
6,,,,0.15%,664,"ITALIA TRASPORTOAEREO",AZ
7,,,,0.15%,652,ROSSIYA AIRLINES,FV
8,,,,0.12%,546,NORD WIND,N4
9,,,,0.07%,334,VUELING AIRLINES S.A.,VY
10,,,,0.07%,318,BLUE BIRD AIRWAYS,BZ
11,62.03%,0.21%,187,0.07%,303,AIR SEYCHELLES,HM
12,,,,0.06%,271,AIR BALTIC,BT
13,,,,0.02%,110,"WIND ROSE AVIATION Co.Lt",7W
14,-40.46%,2.93%,"2,555",0.36%,"1,521",אחרים,
15,,,"87,196",,"420,438",סה''כ,
